label,city,state_slug,state_abbr,url,population
"Carlton County, MN",Carlton County,minnesota,MN,/minnesota/carlton-county/?tab=insights,36207
"Carver County, MN",Carver County,minnesota,MN,/minnesota/carver-county/?tab=insights,106922
"Cass, MN",Cass,minnesota,MN,/minnesota/cass/?tab=insights,26598
"Center City, MN",Center City,minnesota,MN,/minnesota/center-city/?tab=insights,629
"Centerville, MN",Centerville,minnesota,MN,/minnesota/centerville/?tab=insights,3930
"Champlin, MN",Champlin,minnesota,MN,/minnesota/champlin/?tab=insights,23919
"Chanhassen, MN",Chanhassen,minnesota,MN,/minnesota/chanhassen/?tab=insights,25947
"Chaska, MN",Chaska,minnesota,MN,/minnesota/chaska/?tab=insights,27810
"Chatfield, MN",Chatfield,minnesota,MN,/minnesota/chatfield/?tab=insights,2799
"Chippewa, MN",Chippewa,minnesota,MN,/minnesota/chippewa/?tab=insights,66297
"Chisago, MN",Chisago,minnesota,MN,/minnesota/chisago/?tab=insights,56621
"Chisago City, MN",Chisago City,minnesota,MN,/minnesota/chisago-city/?tab=insights,5558
"Chisholm, MN",Chisholm,minnesota,MN,/minnesota/chisholm/?tab=insights,4775
"Circle Pines, MN",Circle Pines,minnesota,MN,/minnesota/circle-pines/?tab=insights,5025
"Clara City, MN",Clara City,minnesota,MN,/minnesota/clara-city/?tab=insights,1423
"Cloquet, MN",Cloquet,minnesota,MN,/minnesota/cloquet/?tab=insights,12568
"Cohasset, MN",Cohasset,minnesota,MN,/minnesota/cohasset/?tab=insights,2689
"Cokato, MN",Cokato,minnesota,MN,/minnesota/cokato/?tab=insights,2799
"Cold Spring, MN",Cold Spring,minnesota,MN,/minnesota/cold-spring/?tab=insights,4164
"Coleraine, MN",Coleraine,minnesota,MN,/minnesota/coleraine/?tab=insights,2006
"Collegeville, MN",Collegeville,minnesota,MN,/minnesota/collegeville/?tab=insights,3516
"Cologne, MN",Cologne,minnesota,MN,/minnesota/cologne/?tab=insights,1605
"Columbia Heights, MN",Columbia Heights,minnesota,MN,/minnesota/columbia-heights/?tab=insights,21973
"Columbus, MN",Columbus,minnesota,MN,/minnesota/columbus/?tab=insights,4007
"Coon Rapids, MN",Coon Rapids,minnesota,MN,/minnesota/coon-rapids/?tab=insights,63599
"Corcoran, MN",Corcoran,minnesota,MN,/minnesota/corcoran/?tab=insights,5552
"Cottage Grove, MN",Cottage Grove,minnesota,MN,/minnesota/cottage-grove/?tab=insights,35918
"Crookston, MN",Crookston,minnesota,MN,/minnesota/crookston/?tab=insights,7482
"Crosby, MN",Crosby,minnesota,MN,/minnesota/crosby/?tab=insights,2345
"Cross Lake, MN",Cross Lake,minnesota,MN,/minnesota/cross-lake/?tab=insights,2141
"Crow Wing, MN",Crow Wing,minnesota,MN,/minnesota/crow-wing/?tab=insights,66123
"Crystal, MN",Crystal,minnesota,MN,/minnesota/crystal/?tab=insights,22943
"Dakota, MN",Dakota,minnesota,MN,/minnesota/dakota/?tab=insights,21582
"Dassel, MN",Dassel,minnesota,MN,/minnesota/dassel/?tab=insights,1472
"Dawson, MN",Dawson,minnesota,MN,/minnesota/dawson/?tab=insights,1466
"Dayton, MN",Dayton,minnesota,MN,/minnesota/dayton/?tab=insights,5096
"Deephaven, MN",Deephaven,minnesota,MN,/minnesota/deephaven/?tab=insights,3899
"Delano, MN",Delano,minnesota,MN,/minnesota/delano/?tab=insights,5875
"Dellwood, MN",Dellwood,minnesota,MN,/minnesota/dellwood/?tab=insights,1171
"Detroit Lakes, MN",Detroit Lakes,minnesota,MN,/minnesota/detroit-lakes/?tab=insights,9869
"Dilworth, MN",Dilworth,minnesota,MN,/minnesota/dilworth/?tab=insights,4612
