city,state_slug,population
Marion County,ks,345920
Marion County,ky,345920
Marion County,ms,345920
Marion County,mo,345920
Marion County,oh,345920
Marion County,or,345920
Marion County,sc,345920
Marion County,tn,345920
Marion County,tx,345920
Marion County,wv,345920
Somerset County,me,345361
Somerset County,md,345361
Somerset County,nj,345361
Somerset County,pa,345361
Rutherford County,nc,341486
Rutherford County,tn,341486
West Raleigh,nc,338759
Rockland,ny,338329
Orlando,fl,334854
Henrico,va,334389
Río Piedras,pr,332344
Boulder County,co,330758
Weld,co,328981
Spartanburg County,sc,327997
Luzerne County,pa,325594
Durham County,nc,324833
Escambia,al,321905
Escambia,fl,321905
Stockton,ca,320804
Lexington,ky,320347
Corpus Christi,tx,317863
Riverside,ca,314998
Riverside,ny,314998
Fayette County,ky,314488
Lexington-Fayette,ky,314488
Rockingham County,nh,314176
Rockingham County,nc,314176
Rockingham County,va,314176
Lorain County,oh,312964
Northampton County,nc,312951
Northampton County,va,312951
Saint Paul,mn,311527
Cincinnati,oh,311097
Lubbock County,tx,310639
Santa Ana,ca,310227
Irvine,ca,307670
Pittsburgh,pa,304391
Greensboro,nc,299035
Dutchess,ny,295911
Cleveland County,ar,295528
Cleveland County,nc,295528
Cleveland County,ok,295528
Thurston,ne,294793
Thurston,wa,294793
Lincoln,ne,294757
Jersey City,nj,292449
Anchorage,ak,289600
Ironville,ky,288649
Meads,ky,288649
Dauphin,pa,286401
Henderson,nv,285667
Ingham,mi,284900
Plano,tx,283558
San Luis Obispo County,ca,282424
Newark,nj,281944
Merced County,ca,281202
Madison,wi,280305
Alachua County,fl,278468
Chandler,az,275987
Kitsap,wa,275611
Chula Vista,ca,275487
Atlantic,nj,274534
Erie County,ny,270876
Erie County,oh,270876
Erie County,pa,270876
Santa Cruz County,az,270861
Santa Cruz County,ca,270861
Buncombe,nc,269452
Brown,il,268740
Brown,in,268740
Brown,ks,268740
Brown,mn,268740
Brown,ne,268740
Brown,oh,268740
Brown,sd,268740
Brown,tx,268740
Brown,wi,268740
Gilbert,az,267918
Webb,tx,267114
Toledo,oh,265638
Hudson,nj,264290
Reno,nv,264165
Fort Wayne,in,263886
North Las Vegas,nv,262527
Marin,ca,262321
Weber,ut,262223
Kalamazoo County,mi,261670
Harford,md,260924
McLennan,tx,260579
Cumberland County,il,259469
Cumberland County,ky,259469
Cumberland County,nj,259469
Cumberland County,nc,259469
Cumberland County,pa,259469
Cumberland County,tn,259469
St. Petersburg,fl,258308
Buffalo,ny,258071
Durham,nc,257636
Lubbock,tx,257141
Yakima County,wa,256728
Irving,tx,256684
Laredo,tx,256153
Winston-Salem,nc,249545
City of Norfolk,va,242803
Lafayette Parish,la,241753
Scottsdale,az,241361
Hays,tx,241067
Glendale,az,240126
Arlington County,va,238643
Norfolk,va,238005
Caddo Parish,la,237848
Garland,tx,236897
Yavapai,az,236209
Boise,id,235684
Saratoga,ny,235509
Chesapeake,va,235429
Brazos,tx,233849
Smith,ms,233479
Smith,tn,233479
Smith,tx,233479
Fremont,ca,232206
Baldwin County,al,231767
Baldwin County,ga,231767
Canyon,id,231105
Barnstable County,ma,228996
Spokane,wa,228989
Mahoning,oh,228614
Gaston County,nc,227943
Hinds,ms,227742
Baton Rouge,la,227470
Tuscaloosa County,al,227036
Whatcom,wa,226847
Cabarrus,nc,225804
New Hanover,nc,225702
Paradise,nv,223167
Hialeah,fl,223109
San Bernardino,ca,222101
Doña Ana County,nm,219561
Tacoma,wa,219346
Modesto,ca,218464
Jamaica,ny,216866
Calcasieu,la,216785
Yolo,ca,216403
Lackawanna,pa,215896
Huntsville,al,215006
Des Moines,ia,214133
Mohave,az,213267
Okaloosa,fl,211668
Rochester,ny,209802
Washington County,al,209349
Washington County,ar,209349
Washington County,co,209349
Washington County,fl,209349
Washington County,ga,209349
Washington County,id,209349
Washington County,il,209349
Washington County,in,209349
Washington County,ia,209349
Washington County,ks,209349
Washington County,ky,209349
Washington County,me,209349
Washington County,md,209349
Washington County,mn,209349
Washington County,ms,209349
Washington County,mo,209349
Washington County,ne,209349
Washington County,ny,209349
Washington County,nc,209349
Washington County,oh,209349
Washington County,ok,209349
Washington County,or,209349
Washington County,ri,209349
Washington County,tn,209349
Washington County,tx,209349
Washington County,ut,209349
Washington County,vt,209349
Washington County,va,209349
Washington County,wi,209349
Moreno Valley,ca,208634
Clermont,oh,208601
Fontana,ca,208393
Maryvale,az,208189
Arlington,va,207627
Elkhart County,in,207047
Columbus,ga,206922
Muscogee,ga,206922
Benton County,ar,206873
Benton County,in,206873
Benton County,ia,206873
Benton County,mn,206873
Benton County,ms,206873
Benton County,mo,206873
Benton County,or,206873
Benton County,tn,206873
Benton County,wa,206873
Worcester,ma,206518
Onslow,nc,204576
Little Rock,ar,202591
Oxnard,ca,202063
Trumbull,oh,201977
Fayetteville,nc,201963
Yonkers,ny,201116
Glendale,ca,201020
Cypress,tx,200839
Aurora,il,200661
Hawaii,hi,200629
Amarillo,tx,200393
Salt Lake City,ut,199723
Grand Rapids,mi,198917
Huntington Beach,ca,198711
Broome,ny,198683
Deschutes,or,198253
Racine County,wi,197727
Akron,oh,197542
Overland Park,ks,197238
Minnehaha,sd,197214
Birmingham,al,196357
Sangamon,il,196343
Sumner,ks,196281
Sumner,tn,196281
Tallahassee,fl,196169
Grand Prairie,tx,196100
McKinney,tx,195308
Montgomery,al,195287
Hernando County,fl,194515
Cape Coral,fl,194016
Butler County,al,193763
Butler County,ia,193763
Butler County,ks,193763
Butler County,ky,193763
Butler County,mo,193763
Butler County,oh,193763
Butler County,pa,193763
Sioux Falls,sd,192517
Ellis County,ks,192455
Ellis County,ok,192455
Ellis County,tx,192455
El Dorado,ca,191185
Peoria,az,190985
Providence,ri,190934
Vancouver,wa,190915
Knoxville,tn,190740
Outagamie,wi,190705
Sarpy,ne,190604
Saginaw County,mi,190124
Sunrise Manor,nv,189372
Santa Rosa,fl,188000
Shreveport,la,187593
Beaufort County,nc,187117
Mobile,al,187041
Brownsville,tx,186738
Iredell,nc,186693
Tippecanoe,in,186251
Newport News,va,186247
DeSoto,fl,185314
Bayamon,pr,185187
East New York,ny,183000
Fort Lauderdale,fl,182760
Medina County,oh,182470
Medina County,tx,182470
Santa Clarita,ca,182371
Shasta County,ca,182155
Ulster,ny,181851
Peoria County,il,181830
Chattanooga,tn,181099
Kanawha,wv,180745
Tempe,az,180587
Vanderburgh,in,180136
Imperial County,ca,179702
Shawnee County,ks,178909
Licking,oh,178519
East Flatbush,ny,178464
Spring Valley,nv,178395
Santa Rosa,ca,178127
Eugene,or,176654
Muskegon County,mi,175824
Salem,or,175535
Hendricks,in,174788
Rancho Cucamonga,ca,174453
Oceanside,ca,174068
Porter County,in,173215
Garden Grove,ca,171949
Winnebago County,il,171730
Winnebago County,ia,171730
Winnebago County,wi,171730
Kootenai,id,171362
Ontario,ca,171214
Pembroke Pines,fl,171178
Pitt,nc,170243
Springfield,mo,170188
Midland County,mi,169983
Midland County,tx,169983
Fort Collins,co,169810
Palmdale,ca,169450
Wyandotte,ks,169245
Kenosha County,wi,169151
Kenton,ky,169064
Aiken County,sc,168808
Chittenden County,vt,168323
Pueblo County,co,168162
Hollywood,ca,167664
Elk Grove,ca,166913
Clarksville,tn,166722
Charles,md,166617
Deer Valley,az,165656
Ector,tx,165171
Maui,hi,164754
Yellowstone,mt,164731
Port Saint Lucie,fl,164603
Rock,mn,163687
Rock,ne,163687
Rock,wi,163687
Salinas,ca,163542
Salinas,pr,163542
Hayward,ca,162954
Olmsted,mn,162847
Hampshire,ma,162308
Hampshire,wv,162308
Dorchester,md,161540
Dorchester,sc,161540
Comal,tx,161501
Rensselaer County,ny,161130
Lancaster,ca,161103
Catawba,nc,160610
Ouachita,la,160368
Indian River,fl,159788
Cary,nc,159769
Paterson,nj,159732
Alexandria,va,159467
City of Alexandria,va,159467
Tempe Junction,az,158368
Stearns,mn,158292
Centre,pa,158172
Schenectady County,ny,158061
Bibb,al,157346
Bibb,ga,157346
Corona,ca,157136
Rankin,ms,157031
Stafford County,ks,156927
Stafford County,va,156927
Madera County,ca,156255
Sunnyvale,ca,155805
Mesa,co,155703
Santa Fe County,nm,154823
Frisco,tx,154407
Canadian,ok,154405
Springfield,ma,154341
Berrien,ga,154316
Berrien,mi,154316
Borough Park,ny,154210
East Chattanooga,tn,154024
Citrus,fl,153843
Merrimack County,nh,153808
Jackson,ms,153701
Kings,ca,153443
Kings,ny,153443
Killeen,tx,153095
Kansas City,ks,152933
Murfreesboro,tn,152769
Washington Heights,ny,152613
Lakewood,co,152597
Penobscot County,me,152199
Bellevue,wa,151854
Pomona,ca,151713
Escondido,ca,151038
Astoria,ny,150165
Hollywood,fl,149728
Naperville,il,149540
Sandoval,nm,148834
Valencia,ca,148456
Rockford,il,148278
Parker County,tx,148222
East Hampton,va,147993
Joliet,il,147861
Savannah,ga,147780
Roseville,ca,147773
Bridgeport,ct,147629
Torrance,ca,147067
Coweta,ga,146158
Kaufman County,tx,145310
Gainesville,fl,145214
Coconino,az,145101
Mesquite,tx,144788
Rock Island County,il,144672
Sussex County,de,144221
Sussex County,nj,144221
Sussex County,va,144221
Syracuse,ny,144142
Fullerton,ca,143617
Lebanon County,pa,143257
Surprise,az,143148
Schuylkill,pa,143049
Crown Heights,ny,143000
Metairie Terrace,la,142489
Columbia,sc,142416
Livingston Parish,la,142282
McAllen,tx,142210
Wright,ia,141337
Wright,mn,141337
Wright,mo,141337
Randall,tx,140753
West Valley City,ut,140230
Spotsylvania,va,140032
Orange,ca,139911
Pasadena,ca,138699
Pasadena,tx,138699
Metairie,la,138481
Napa County,ca,138019
Marathon County,wi,138013
Cedar Rapids,ia,137710
Ponce,pr,137491
Hampton,va,137148
Kent,wa,136588
Dayton,oh,135512
Stamford,ct,135470
Blount,al,135280
Blount,tn,135280
Victorville,ca,134810
Miramar,fl,134721
Coral Springs,fl,134394
Sterling Heights,mi,134346
Calhoun County,al,134310
Calhoun County,ar,134310
Calhoun County,fl,134310
Calhoun County,ga,134310
Calhoun County,il,134310
Calhoun County,ia,134310
Calhoun County,mi,134310
Calhoun County,ms,134310
Calhoun County,sc,134310
Calhoun County,tx,134310
Calhoun County,wv,134310
Olathe,ks,134305
Warren,mi,134056
Harnett,nc,133568
Cambria,pa,133472
Thornton,co,133451
Carrollton,tx,133434
Tangipahoa,la,133157
Cache,ut,133154
Charleston,sc,132609
Midland,tx,132524
Waco,tx,132356
Kendall,il,131869
